,date,US Population,US Deaths,US DeathIncrease,US inICUCumulative,US inICUCurrently,US HospitalizedIncrease,US HospitalizedCurrently,US HospitalizedCumulative,US Negative,US NegativeIncrease,US OnVentilatorCumulative,US OnVentilatorCurrently,US Positive,US PositiveIncrease,US TotalTestResults,US TotalTestResultsIncrease,NC Population,NC death,NC DeathIncrease,NC HospitalizedCumulative,NC HospitalizedCurrently,NC HospitalizedIncrease,NC InIcuCumulative,NC InIcuCurrently,NC Negative,NC NegativeIncrease,NC OnVentilatorCumulative,NC OnVentilatorCurrently,NC Positive,NC PositiveIncrease,NC TotalTestResults,NC TotalTestResultsIncrease
0,2021-03-07,332031554,515151.0,842,45475.0,8134.0,726,40199.0,776361.0,74582825.0,131835,4281.0,2802.0,28756489.0,41835,363825123,1170059,10565885.0,11502.0,0.0,0.0,1179.0,0.0,0.0,309.0,0.0,0.0,0.0,0.0,872176.0,0.0,9688838.0,0.0
1,2021-03-06,332031554,514309.0,1680,45453.0,8409.0,503,41401.0,775635.0,74450990.0,143835,4280.0,2811.0,28714654.0,60015,362655064,1430992,10565885.0,11502.0,56.0,0.0,1179.0,0.0,0.0,309.0,0.0,0.0,0.0,0.0,872176.0,2027.0,9688838.0,38654.0
2,2021-03-05,332031554,512629.0,2221,45373.0,8634.0,2781,42541.0,775132.0,74307155.0,271917,4275.0,2889.0,28654639.0,68787,361224072,1744417,10565885.0,11446.0,47.0,0.0,1226.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,870149.0,2093.0,9650184.0,44487.0
3,2021-03-04,332031554,510408.0,1743,45293.0,8970.0,1530,44172.0,772351.0,74035238.0,177957,4267.0,2973.0,28585852.0,65487,359479655,1590984,10565885.0,11399.0,36.0,0.0,1290.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,868056.0,2502.0,9605697.0,44050.0
4,2021-03-03,332031554,508665.0,2449,45214.0,9359.0,2172,45462.0,770821.0,73857281.0,267001,4260.0,3094.0,28520365.0,66836,357888671,1406795,10565885.0,11363.0,75.0,0.0,1303.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,865554.0,2145.0,9561647.0,19976.0
5,2021-03-02,332031554,506216.0,1728,45084.0,9465.0,1871,46388.0,768649.0,73590280.0,255779,4257.0,3169.0,28453529.0,54248,356481876,1343519,10565885.0,11288.0,34.0,0.0,1353.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,863409.0,1239.0,9541671.0,16397.0
6,2021-03-01,332031554,504488.0,1241,44956.0,9595.0,1024,46738.0,766778.0,73334501.0,118077,4252.0,3171.0,28399281.0,48092,355138357,1154440,10565885.0,11254.0,42.0,0.0,1319.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,862170.0,3622.0,9525274.0,25289.0
7,2021-02-28,332031554,503247.0,1051,44907.0,9802.0,879,47352.0,765754.0,73216424.0,203599,4252.0,3245.0,28351189.0,54349,353983917,1408422,10565885.0,11212.0,0.0,0.0,1414.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,858548.0,0.0,9499985.0,36576.0
8,2021-02-27,332031554,502196.0,1847,44875.0,10114.0,1428,48871.0,764875.0,73012825.0,205090,4252.0,3335.0,28296840.0,71245,352575495,1655179,10565885.0,11212.0,26.0,0.0,1414.0,0.0,0.0,348.0,0.0,0.0,0.0,0.0,858548.0,2643.0,9463409.0,40943.0
9,2021-02-26,332031554,500349.0,2141,44791.0,10466.0,1868,51112.0,763447.0,72807735.0,276829,4247.0,3466.0,28225595.0,74857,350920316,1803309,10565885.0,11186.0,49.0,0.0,1465.0,0.0,0.0,367.0,0.0,0.0,0.0,0.0,855905.0,2924.0,9422466.0,60691.0
